SKILL_20150317_000001	Атака
SKILL_20150317_000045	[Sakmoli] Magic, Strike, Ice Property, Normal Attack 1 time
SKILL_20150317_000046	[Jukopus] Physical, Strike, Earth Property, Body Slam
SKILL_20150317_000047	[Jukopus] Physical, Strike, Earth Property, Jump and Body Slam
SKILL_20150317_000048	[Red Bushspider] Jump and Smash
SKILL_20150317_000049	[Red Bushspider] Normal Attack, Conical AoE
SKILL_20150317_000050	[Baby DИонаia] Normal Attack, Conical AoE
SKILL_20150317_000051	[Mini Griba] Physical, Strike, Poison Property, One Punch
SKILL_20150317_000052	[Mini Griba] Physical, Strike, Poison Property, One-two Punch
SKILL_20150317_000053	[Mini Griba] Physical, Strike, Poison Property, Two-handed Strike
SKILL_20150317_000054	[Griba] Physical, Strike, Ice Property Attack 1 time
SKILL_20150317_000055	[Griba] Magic, Magic, Ice Property Attack 1 time
SKILL_20150317_000056	[Old Kepa] Normal Attack, Conical AoE
SKILL_20150317_000057	[Tree Ghost] One-handed Strike
SKILL_20150317_000058	[Tree Ghost] Two-handed clap
SKILL_20150317_000059	[Tree Ghost] Stomp ground
SKILL_20150317_000060	[Cockatrice] Magic, Magic, Fire Property, Fume Fire 3 times
SKILL_20150317_000061	[Zinute] Physical Pierce Fire Property Attack 1 time
SKILL_20150317_000062	[Zinute] Physical Slash Fire Property Attack 1 time
SKILL_20150317_000063	[Tontulia] Physical Strike Lightning Property Attack 1 time
SKILL_20150317_000064	[Tontulia] Physical Strike Lightning Property Атака 2 times
SKILL_20150317_000065	[Tontus] Physical Strike, Poison Property Attack 2 times
SKILL_20150317_000066	[Tontus] Physical Pierce, Poison Property Attack 1 time
SKILL_20150317_000067	[Tontus] Physical Strike, Poison Property Attack 1 time
SKILL_20150317_000068	[Vekarabe] Physical, Pierce, Poison Property, Forward Pierce Attack
SKILL_20150317_000069	[Vekarabe] Physical, Pierce, Poison Property, Forward Upper Pierce Attack
SKILL_20150317_000070	[Geppetto] Physical Strike, Earth Property Attack 2 times
SKILL_20150317_000071	[Geppetto] Physical Strike, Earth Property Attack 1 time
SKILL_20150317_000072	[Geppetto] Physical Strike, Earth Property Attack 1 time
SKILL_20150317_000073	[Boowook] Physical, Strike, Earth Property Attack 1 time
SKILL_20150317_000074	[Boowook] Physical, Strike, Earth Property Feet Stomp Attack 1 time,
SKILL_20150317_000075	[Desmodus] Physical, Pierce, Dark Property Tail Blow
SKILL_20150317_000076	[Desmodus] Physical, Pierce, Dark Property Body Blow
SKILL_20150317_000077	[Pino] Physical Blow, Earth Property Attack 1 time
SKILL_20150317_000078	[Cauliflower] Physical, Pierce, Poison Property, Smash with tentacle
SKILL_20150317_000079	[Cauliflower] Physical, Pierce, Poison Property, Gouge with tentacle
SKILL_20150317_000080	[Cauliflower] Physical, Pierce, Poison Property, Ground Smash
SKILL_20150317_000081	[Helmet Bug] Physical, Pierce, Earth Property, Attack 1 time
SKILL_20150317_000082	[Helmet Bug] Normal Attack2
SKILL_20150317_000083	[Bikaaras Mage] Magic, Magic, Fire Property, Attack 1 time
SKILL_20150317_000084	[Bikaaras Mage] Physical, Slash, Fire Property, Attack 1 time
SKILL_20150317_000085	[Vikaras] Physical, Slash, Fire Property, Attack 1 time
SKILL_20150317_000086	[Vikaras] Physical, Slash, Fire Property, Ground Smash 1 time
SKILL_20150317_000087	[Mutant Chinency] Normal Attack, Forward Missile
SKILL_20150317_000088	[Zinute] One-handed Blow
SKILL_20150317_000089	[Zinute] Two-handed clap
SKILL_20150317_000090	[Zinute] Ground Smash
SKILL_20150317_000091	[Lauzinute] Physical, Pierce, Fire Property Attack 1 time
SKILL_20150317_000092	[Lauzinute] Physical, Pierce, Fire Property Rotating Attack
SKILL_20150317_000093	[Dandel] Physical Pierce Lightning Property Attack 1 time
SKILL_20150317_000094	[Rusrat] Physical, Slash, Lightning Property Attack 2 times
SKILL_20150317_000095	[Rusrat] Physical, Slash, Lightning Property Attack 1 time
SKILL_20150317_000096	[Medakia] Physical, Slash, Dark Property Attack 1 time
SKILL_20150317_000097	[Medakia] Magic, Magic, Dark Property Attack 1 time
SKILL_20150317_000098	[Medakia] Ground Smash
SKILL_20150317_000099	[Wheelen] Two-handed clap
SKILL_20150317_000100	[Mauros] Physical, Strike, Dark Property Attack 1 time
SKILL_20150317_000101	[Mauros] Physical, Strike, Dark Property Smash Attack 1 time
SKILL_20150317_000102	[Sauga] Physical Strike Earth Property Attack 1 time
SKILL_20150317_000103	[Sauga] Physical, Strike, Earth Property Ground Smash
SKILL_20150317_000104	Тыква обычная атака.
SKILL_20150317_000105	Attack 2
SKILL_20150317_000106	Тыква обычная атака 2.
SKILL_20150317_000107	[Saurman Priest] Normal attack.
SKILL_20150317_000108	Навыки
SKILL_20150317_000109	[Saurman Priest] skills.
SKILL_20150317_000110	Saurma[Saurman священник] обычная атака.
SKILL_20150317_000111	Saurman обычная атака.2.
SKILL_20150317_000112	Мальчик Призрак нормальной атаки.
SKILL_20150317_000113	Boy Ghos[Saurman священник] навыки.
SKILL_20150317_000114	Дядя Призрак нормальной атаки.
SKILL_20150317_000115	Дядя Призрак навыки.
SKILL_20150317_000116	Гобл элиты обычная атака.
SKILL_20150317_000117	Гобл элиты обычная атака 2.
SKILL_20150317_000118	Винт зомби нормальной атаки.
SKILL_20150317_000119	Винт обычная атака зомби 2.
SKILL_20150317_000120	Берсерк зомби Normal attack.
SKILL_20150317_000121	Свеча обычная атака зомби.
SKILL_20150317_000122	Зомби-Лучник обычная атака.
SKILL_20150317_000123	[High Vubbe] Physical, Slash, Water Property, Normal attack
SKILL_20150317_000124	[High Vubbe Archer] Range, Pierce, Water Property, Normal attack
SKILL_20150317_000125	Девушка Призрак нормальной атаки.
SKILL_20150317_000126	Девушка Призрак навыки.
SKILL_20150317_000127	Мадам Призрак нормальной атаки.
SKILL_20150317_000128	Мадам Призрак навыки.
SKILL_20150317_000129	Mirtis глазное яблоко нормальной атаки.
SKILL_20150317_000130	Mirtis глазного яблока обычная атака 2.
SKILL_20150317_000131	Призрак элиты обычная атака.
SKILL_20150317_000132	Призрак элиты обычная атака 2.
SKILL_20150317_000133	[Chinency] Physical, Strike, Earth Property, one stroke ahead-back blow
SKILL_20150317_000134	[Popolion] Physical, Strike, Earth Property, Headbutt
SKILL_20150317_000135	[Popolion] Physical, Strike, Earth Property, Sonic wave attack
SKILL_20150317_000136	[Range Chinency] Normal attack, Forward missile
SKILL_20150317_000137	[Range Chinency] Skill 1, Forward missile, induce Knockback
SKILL_20150317_000138	[Chupacabra] Physical, Strike, Earth Property, Headbutt
SKILL_20150317_000139	[Chupacabra] Physical, Strike, Earth Property, Jump and Stomp
SKILL_20150317_000140	[Chupacabra] Chup[Saurman Спирмена] обычная атака.3
SKILL_20150317_000141	[Chupacabra] Chup[Saurman Лесоруб] обычная атака.4
SKILL_20150317_000142	Призрак нормальной атаки.
SKILL_20150317_000143	Woodspirit обычная атака.
SKILL_20150317_000144	Woodspirit обычная атака 2.
SKILL_20150317_000145	Охранник обычная атака.
SKILL_20150317_000146	Охранник обычная атака 2.
SKILL_20150317_000147	Большой взрыв
SKILL_20150317_000148	Large eхplosion (Defense)
SKILL_20150317_000149	В одну сторону турель обычная атака.
SKILL_20150317_000150	[Ridimed] Physical, Blow, Poison Property, Attack 1 time
SKILL_20150317_000151	Гоблин-Боец нападения.
SKILL_20150317_000152	Колючий куст обычная атака.
SKILL_20150317_000153	[Combat Soldiers] Combatants attack
SKILL_20150317_000154	[Combat Soldiers] Combatants attack 2
SKILL_20150317_000155	Зомби-Лучник умения.
SKILL_20150317_000156	Коляска обычная атака зомби.
SKILL_20150317_000157	Коляска зомби навыки.
SKILL_20150317_000158	Стена пламени
SKILL_20150317_000159	Создать стену пламени, которая наносит урон врагам при контакте.
SKILL_20150317_000160	В результате взрыва мины
SKILL_20150317_000161	Взорвать взрывные мины.
SKILL_20150317_000162	Токсический взрыв
SKILL_20150317_000163	Взорвать токсичные мины.
SKILL_20150317_000164	Клеймор взрыва
SKILL_20150317_000165	Клеймор взрыва.
SKILL_20150317_000166	Jump Attack
SKILL_20150317_000167	Жизни Поток
SKILL_20150317_000168	Жизни Поток Хилл
SKILL_20150317_000169	Ледник Клин
SKILL_20150317_000170	После 2 ледника Клин
SKILL_20150317_000171	Семя взрыва
SKILL_20150317_000172	Семя взрыва.
SKILL_20150317_000173	Пламя взрыва
SKILL_20150317_000174	Пламя взрыва.
SKILL_20150317_000175	Метель
SKILL_20150317_000176	Метеор Взрыва
SKILL_20150317_000177	Normal attack
SKILL_20150317_000178	Обрушить
SKILL_20150317_000179	Разрушения и повреждения врагов, отталкивая их прочь.
SKILL_20150317_000180	Ракетная атака
SKILL_20150317_000181	АОС турель атакуют
SKILL_20150317_000182	[Woodman] attack
SKILL_20150317_000183	Саламандра атаки
SKILL_20150317_000184	[Vubbe Miner] Physical, Slash, Earth Property, Swing Pickaxe
SKILL_20150317_000185	Зал статуя атаки
SKILL_20150317_000186	Зал статуя мастерства
SKILL_20150317_000187	Священник атака 1
SKILL_20150317_000188	Священник мастерства 1
SKILL_20150317_000189	[Green Apparition] Magic, Magic, Lightning Property, Attack 1 time
SKILL_20150317_000190	Атака Статуя 1
SKILL_20150317_000191	[Vubbe Theif] Physical, Slash, Earth Property, Spear Twirl
SKILL_20150317_000192	[Vubbe Theif] Physical, Pierce, Earth Property Aries skills
SKILL_20150317_000193	[Saurman Spearman] Normal attack.
SKILL_20150317_000194	[Saurman Spearman] Normal attack 2.
SKILL_20150317_000195	[Vubbe Archer] Range, Pierce, Earth Property, Frontal Arrow Shot
SKILL_20150317_000196	[Pokubu] Physical, blow, Earth Property, Hook Attack
SKILL_20150317_000197	[Bagworm] Magic, Magic, Poison Property, Frontal Poison Spread Attack
SKILL_20150317_000198	[Bagworm] Long Distance, Magic, Poison Property, Ranged Poison Shot
SKILL_20150317_000199	[Saurman Axeman] Normal attack.
SKILL_20150317_000200	[Saurman Axeman] Normal attack 2.
SKILL_20150317_000201	Исцелить
SKILL_20150317_000202	Монстр Исцелить
SKILL_20150317_000203	Vubbe Шахтер Атаки
SKILL_20150317_000204	[Feral Pokubu] Normal attack.
SKILL_20150317_000205	Охранник обычная атака.
SKILL_20150317_000206	Охранник обычная атака 2.
SKILL_20150317_000207	Охранник обычная атака 3.
SKILL_20150317_000208	[Candle Spider] Physical, Blow, Dark Property, One-Legged Attack
SKILL_20150317_000209	[Candle Spider] Physical, Blow, Dark Property, Body Slam
SKILL_20150317_000210	[Candle Spider] Physical, Blow, Dark Property, Jump and Two-Legged Stomp
SKILL_20150317_000211	[Winged Frog] Physical, Blow, poison Property, Attack 1 time
SKILL_20150317_000212	[Winged Frog] Physical, Blow, poison Property, Poison Attack 1 time
SKILL_20150317_000213	[Winged Frog] Physical, Blow, Dark Property, Headbutt Knockback Attack
SKILL_20150317_000214	[Black Leaf Bug] Physical, Blow, Dark Property, Body Slam
SKILL_20150317_000215	[Black Leaf Bug] Physical, Blow, Dark Property, Bite attack
SKILL_20150317_000216	[Black Leaf Bug] Physical, Blow, Dark Property, Jump attack
SKILL_20150317_000217	[Cemetery Golem] Physical, Blow, Earth Property attack 1 time
SKILL_20150317_000218	[Drake] Physical, Slash, Fire Property, Attack 1 time
SKILL_20150317_000219	[Drake] Magic, Magic, Fire Property, Fume Flame attack
SKILL_20150317_000220	[Big Cockatrice] Physical, Pierce, Fire Property, Attack 2 times
SKILL_20150317_000221	[Big Cockatrice] Magic, Pierce, Fire Property, Fly and head butt
SKILL_20150317_000222	[Big Cockatrice]
SKILL_20150317_000223	[Panto Shaman] Physical Normal Strike
SKILL_20150317_000224	[Panto Shaman] Magic Lightning Property Strike
SKILL_20150317_000225	[Panto Shaman] Magic Lightning Property Magic
SKILL_20150317_000226	[Panto Wizard] Physical Normal Strike
SKILL_20150317_000227	[Panto Wizard] Magic Lightning Property Strike
SKILL_20150317_000228	[Panto Wizard] Magic Lightning Property Magic
SKILL_20150317_000229	[Moya] Physical, Strike, Lightning Property Attack
SKILL_20150317_000230	[Moyabu] Physical, Strike, Lightning Property Attack
SKILL_20150317_000231	[Bavon] Physical, Strike, Earth Property Attack
SKILL_20150317_000232	[Tanu] Physical Poison Property Slash
SKILL_20150317_000233	[Zignuts] Physical Poison Property Strike
SKILL_20150317_000234	[Zignuts] Physical Normal Slash
SKILL_20150317_000235	[Moglan] Physical, Pierce, Lightning Property Attack
SKILL_20150317_000236	[Moglan] Physical, Pierce, Lightning Property Rotation Attack 2 times
SKILL_20150317_000237	[Denden] Physical, Strike, Dark Property Attack
SKILL_20150317_000238	[Denden] Range, Magic, Dark Property Shoot 1 time
SKILL_20150317_000239	[Doyor] Physical, Strike, Poison Property Attack
SKILL_20150317_000240	[Doyor] Magic Отразить Щитом Magic
SKILL_20150317_000241	[Tipio] Physical Normal Strike
SKILL_20150317_000242	[Tipio] Magic Poison Property Magic
SKILL_20150317_000243	[Rondo] Physical, Pierce, Earth Property Attack
SKILL_20150317_000244	Physical, Strike, Earth Property, Attack
SKILL_20150317_000245	[Terra Imp] Physical, Strike, Dark Property Attack
SKILL_20150317_000246	[Venucelos] Physical, Strike, Earth Property, Attack
SKILL_20150317_000247	[Venucelos] Physical, Strike, Earth Property, Attack 3 times
SKILL_20150317_000248	[Grave Golem] Physical, Strike, Non-Property, Attack
SKILL_20150317_000249	[Grave Golem] Physical, Strike, Non-Property, Smash Attack
SKILL_20150317_000250	[Grave Golem] Physical, Strike, Non-Property, Attack nearby monster
SKILL_20150317_000251	[Wheelen] Physical, Pierce, Lightning Property Pierce Attack
SKILL_20150317_000252	[Wheelen] Physical, Pierce, Lightning Property Rotation Attack 2 times
SKILL_20150317_000253	[Wheelen] Physical, Pierce, Lightning Property Strong Pierce Attack
SKILL_20150317_000254	[Rockter] Physical, Strike, Non-Property, Body Slam
SKILL_20150317_000255	[Caro] Physical, Slash, Poison Property, Attack 2 times
SKILL_20150317_000256	[Vubbe Fighter] 1 time , Physical, Strike, Earth Property
SKILL_20150317_000257	[Red_Kepa] 1 time Physical,Strike, Fire Property
SKILL_20150317_000258	[Tiny] Physical, Slash, Lightning Property, Attack 2 times
SKILL_20150317_000259	[Treeambulo] Physical, Strike, Earth Property, Attack
SKILL_20150317_000260	[Spion] Physical, Strike, Poison Property, Attack 2 times
SKILL_20150317_000261	[Bat] Physical, Strike, Dark Property, Strike with wings
SKILL_20150317_000262	[Shredded] Magic, Magic, Dark Property, Dark Property
SKILL_20150317_000263	[Yekubite] Physical, Strike, Ice Property, Head stomp
SKILL_20150317_000264	[Shardstatue] Physical, Pierce, Lightning Property, Wing strike
SKILL_20150317_000265	[Cire] Physical, Strike, Lightning Property, Attack
SKILL_20150317_000266	[Treegool] Physical, Strike, Dark Property, Attack
SKILL_20150317_000267	[Ammon] Physical, Slash, Earth Property Attack
SKILL_20150317_000268	[Operor] Physical, Pierce, Poison Property, Bee Pierce Attack
SKILL_20150317_000269	[Chafperor] Physical, Pierce, Poison Property, Pierce
SKILL_20150317_000270	[Ravinelerva] Range, Magic, Poison Property, Attack
SKILL_20150317_000271	[Vesper] Physical, Strike, Dark Property, Tail whip
SKILL_20150317_000272	[Karas] Physical, Slash, Dark Property, Attack
SKILL_20150317_000273	[Echad] Physical, Strike, Earth Property, Attack
SKILL_20150317_000274	[Shtayim] Physical, Strike, Earth Property, Attack
SKILL_20150317_000275	[Tombsinker] Physical, Pierce, Dark Property, Attack
SKILL_20150317_000276	[Weaver] Physical, Strike, Earth Property, Smoke attack
SKILL_20150317_000277	[Hallowventer] Magic, Magic, Dark Property, Attack
SKILL_20150317_000278	[Infro Rocktor] Physical, Strike, Earth Property, One-handed hit
SKILL_20150317_000279	[Meleech] Physical, Slash, Poison Property, Attack
SKILL_20150317_000280	[Infroburk] Physical, Strike, Fire Property, Attack
SKILL_20150317_000281	[Zolem] Physical, Strike, Earth Property, Attack
SKILL_20150317_000282	[Kepa Raider] Physical, Strike, Dark Property, Attack
SKILL_20150317_000283	[Mushcarfung] Physical, Strike, Dark Property, Body Attack
SKILL_20150317_000284	[Woodman] Physical, Slash, Dark Property, Attack
SKILL_20150317_000285	[Wood_Goblin] Physical, Strike, Lightning Property, Attack
SKILL_20150317_000286	[Stoneorca] Physical, Strike, Ice Property, Tail Hook
SKILL_20150317_000287	[Stoneorca] Magic, Увеличить Блок, Buff , Magic
SKILL_20150317_000288	[Drape] Physical, Pierce, Poison Property Attack,
SKILL_20150317_000289	[Infro Держатьer] Physical, Strike, Fire Property, Attack
SKILL_20150317_000290	[Repusbunny] Physical, Slash, Ice Property, Attack
SKILL_20150317_000291	[Armory] Physical, Strike, Fire Property Attack
SKILL_20150317_000292	[Hound] Physical, Pierce, Dark Property Attack
SKILL_20150317_000293	[Stoulet] Physical, Strike, Dark Property Attack
SKILL_20150317_000294	[Prisonfighter] Physical, Slash, Dark Property Attack
SKILL_20150317_000295	[Caro] Physical, Slash, Poison Property, Attack
SKILL_20150317_000296	[Maggot] Physical, Strike, Dark Property, Body Slam
SKILL_20150317_000297	[Vubbe Chaser] Physical, Pierce, Dark Property, Pierce Attack
SKILL_20150317_000298	[Red Meduja] Magic, Magic, Fire Property, Attack
SKILL_20150317_000299	[Avatar of Helgasecle] Magic Dark Property Magic
SKILL_20150317_000300	[Filibo] Physical, Strike, Poison Property Attack
SKILL_20150317_000301	[Ellom] Physical, Strike, Lightning Property, Smoke Attack
SKILL_20150317_000302	[Ellom] Physical, Strike, Lightning Property, Smash Attack
SKILL_20150317_000303	[Hogma Warrior] Physical Slash Fire Property Attack
SKILL_20150317_000304	[Hogma Archer] Range Pierce Lightning Property Attack
SKILL_20150317_000305	[Hogma Shaman] Magic, Magic, Fire Property Attack
SKILL_20150317_000306	[Merog Shaman] Magic, Magic, Ice Property, Range Force Attack
SKILL_20150317_000307	[Merog Needler] Range, Pierce, Poison Property, Shoot Poison Needle
SKILL_20150317_000308	[Hogma Shaman] Magic, Magic, Fire Property, Firewall Attack,
SKILL_20150317_000309	[Merog Shaman] Magic, Strike, Ice Property, Forward cane Тяги
SKILL_20150317_000310	[Hogma Warrior] Physical, Strike Fire Property, Shield Knockback Attack
SKILL_20150317_000311	[Hogma Warrior] Buff, Magic, Fire Property, Блок Увеличения
SKILL_20150317_000312	[Merog Needler] Range, Pierce, Poison Property, Jump and Shoot Poison Needle
SKILL_20150317_000313	[Hogma Battle Commander] Physical Slash Dark Property, Attack
SKILL_20150317_000314	[Hogma Battle Commander] Physical Pierce Dark Property Attack
SKILL_20150317_000315	[Hogma Battle Commander] Monste[Призрак Монарха] Вызвать
SKILL_20150317_000316	[Lizardman] Physical, Strike, Lightning Property, Attack
SKILL_20150317_000317	[Chupaluka] Physical, Strike, Dark Property Attack
SKILL_20150317_000318	[Ellomago] Physical, Pierce, Lightning Property, Attack
SKILL_20150317_000319	[Ellogua] Physical, Pierce, Lightning Property Attack
SKILL_20150317_000320	[Ellogua] Range, Magic, Lightning Property Shoot
SKILL_20150317_000321	[WenDigo] Physical Slash Fire Property Attack
SKILL_20150317_000322	[Lizardman] Physical, Strike, Lightning Property, March in and Headbutt Attack
SKILL_20150317_000323	[Kepari] Magic, Magic, Fire Property Attack Fire Debuff
SKILL_20150317_000324	[Kodomor] Physical, Strike, Poison Property Attack
SKILL_20150317_000325	[Kowak] Physical, Strike, Earth Property Attack
SKILL_20150317_000326	[Groll] Physical, Pierce, Poison Property, Smoke attack
SKILL_20150317_000327	[Groll] Physical, Pierce, Poison Property, Pierce with horn Attack
SKILL_20150317_000328	[Chupacabra] Physical, Strike, Dark Property, Attack
SKILL_20150317_000329	[Tama] Physical, Strike, Earth Property Attack
SKILL_20150317_000330	[Medakia] Magic, Slash, Dark Property Attack
SKILL_20150317_000331	[Lemur] Physical, Slash, Ice Property Attack,
SKILL_20150317_000332	[Hogma Fighter] Physical Slash Lightning Property Attack
SKILL_20150317_000333	[Hogma Охранник] Physical Strike Ice Property Attack
SKILL_20150317_000334	Физические, удар, Земля собственность одноручный атака
SKILL_20150317_000335	Магия, Магии, Исцелять Этаж
SKILL_20150317_000336	Физические, удар, Земля собственность органа атаку 3 раза
SKILL_20150317_000337	[Old Hook] Physical, Slash, Earth Property, Attack
SKILL_20150317_000338	[Old Hook] Physical, Slash, Earth Property, Smash Attack
SKILL_20150317_000339	[Old Hook] Physical, Slash, Earth Property, Rotation Attack
SKILL_20150317_000340	[Varv] Physical, Strike, Poison Property, Attack
SKILL_20150317_000341	[Phyracon] Magic, Magic, Fire Property, Fire Shooting Attack 3 times
SKILL_20150317_000342	[Phyracon] Physical, Strike, Fire Property, Attack
SKILL_20150317_000343	[Phyracon] Magic, Magic, Fire Property, Flame Fume Attack 2 times
SKILL_20150317_000344	[Red Old Hook] Physical, Slash, Fire Property, Rotation Attack
SKILL_20150317_000345	[Red Old Hook] Physical, Slash, Fire Property, Smash Attack
SKILL_20150317_000346	[Arma] Physical, Pierce, Fire Property, Attack
SKILL_20150317_000347	[Arma] Physical, Pierce, Fire Property, Даш and Attack 2 times
SKILL_20150317_000348	[Flask] Physical, Strike, Fire Property, Attack
SKILL_20150317_000349	[Black Shaman Doll] Physical, Pierce, Dark Property, Attack
SKILL_20150317_000350	[Dimmer] Physical, Strike, Fire Property, Attack
SKILL_20150317_000351	[Dimmer] Physical, Strike, Fire Property, Attack 2 times
SKILL_20150317_000352	[Wizard Shaman Doll] Physical, Strike, Dark Property, Attack
SKILL_20150317_000353	[Wizard Shaman Doll] Physical, Strike, Dark Property, Rotate and Attack 3 times
SKILL_20150317_000354	[Sequoia Flame] Magic, Magic, Fire Property, Attack
SKILL_20150317_000355	[Raflower] Physical, Pierce, Poison Property, Tentacle Attack
SKILL_20150317_000356	[Raflower] Physical, Pierce, Poison Property, Tentacle Attack
SKILL_20150317_000357	[Vubbe Wizard] Magic, Magic, Fire Property, Энергетический Болт
SKILL_20150317_000358	[Vubbe Wizard] Magic, Magic, Fire Property, Отразить Щитом Buff
SKILL_20150317_000359	[Vubbe Fire Wizard] Magic, Magic, Fire Property, Range Огненный шар Attack
SKILL_20150317_000360	[Vubbe Fire Wizard] Magic, Magic, Fire Property, Огонь Столпа Attack
SKILL_20150317_000361	[Vubbe Ice Wizard] Magic, Magic, Ice Property, Range Ледяная Молния Attack
SKILL_20150317_000362	[Vubbe Ice Wizard] Magic, Magic, Ice Property, Refreezer Wave Attack
SKILL_20150317_000363	[Vubbe Shaman] Magic, Magic, Dark Property, Heal Floor Skill
SKILL_20150317_000364	[Vubbe Shaman] Magic, Magic, Dark Property, Floor Skill
SKILL_20150317_000365	[Shredded] Magic, Magic, Dark Property, Teleport to pc and Attack
SKILL_20150317_000366	[Leafnut] Physical, Strike, Poison Property Attack
SKILL_20150317_000367	[Panto] Physical, Strike, Earth Property, Attack 2 times
SKILL_20150317_000368	[Panto] Physical, Strike, Earth Property, Continuous Attack 6 times 
SKILL_20150317_000369	[Panto] Magic, Movement Buff, Magic,
SKILL_20150317_000370	[Panto Warrior] Physical, Slash, Earth Property, Attack
SKILL_20150317_000371	[Ultanun] Physical Pierce Poison Property Attack
SKILL_20150317_000372	[Ultanun] Magic Poison Property Magic
SKILL_20150317_000373	[Rubabos] Physical, Strike, Ice Property Attack
SKILL_20150317_000374	[Rubabos] Magic, Magic, Ice Property Attack
SKILL_20150317_000375	[Elite Slime] Physical, Strike, Earth Property, Attack
SKILL_20150317_000376	[Bushspider] Physical, Strike, Non-Property, Attack
SKILL_20150317_000377	[Pokubu] Physical, Strike, Earth Property, Head smash
SKILL_20150317_000378	[Mali] 1 hit Physical, Strike, Poison Property,
SKILL_20150317_000379	[Mallardu] Physical, Strike, Earth Property Attack
SKILL_20150317_000380	[Mallardu] Physical, Strike, Earth Property Heal wind
SKILL_20150317_000381	[Grummer] Physical, Strike, Poison Property, Attack
SKILL_20150317_000382	[Hummingbird] Physical, Pierce, Poison Property Attack
SKILL_20150317_000383	[Leafly] Physical, Slash, Lightning Property, Attack
SKILL_20150317_000384	[Desert Chupacabra] Buff, Magic, Скрыть HP Восстановление
SKILL_20150317_000385	[Desert Chupacabra] Physical, Strike, Earth Property Attack
SKILL_20150317_000386	[Chromadog] Physical, Strike, Fire Property Attack
SKILL_20150317_000387	[Seedmia] Physical, Strike, Poison Property, Attack
SKILL_20150317_000388	[Seedmia] Physical, Strike, Poison Property, 1 Range Attack
