QUEST_LV_0100_20150317_000001	Страж
QUEST_LV_0100_20150317_000022	Hmm... Is that so?{nl}It appears they simply destroyed the supplies and ran away. But even if Chupacabras had wings, {nl}surely they can't do something like that.{nl}
QUEST_LV_0100_20150317_000023	Этого не достаточно.{nl}я извиняюсь, но, пожалуйста, привезите нам отчете Moody's от Amzina криволинейной траектории.
QUEST_LV_0100_20150317_000024	Я чувствую себя лучше с тех пор Luders здесь.
QUEST_LV_0100_20150317_000025	Солдат Йорк
QUEST_LV_0100_20150317_000026	В Siaulambs переходил дорогу. Я в панике сам, и я не знаю, что делать.{nl}я уверен, что Luders не позволят этому случиться... и что делать??ь??ь??ь??
QUEST_LV_0100_20150317_000027	Как вы думаете, проблема будет решена просто, победив Sparnas??s??s??s??
QUEST_LV_0100_20150317_000028	Thanks to your help, I think I can hold myself together.{nl}But... won't this kind of thing happen again? Что мне делать? then...?
QUEST_LV_0100_20150317_000029	Sparnas? We don't have a clear answer about it.{nl}It just appeared from the sky without any signs and destroyed all the supplies we had. Then, it {nl}quickly disappeared. We got headaches just hearing its cries.
QUEST_LV_0100_20150317_000030	Место, где я только что говорил о Второй склад материально-технического снабжения.{nl}уныло думать, как подобные вещи будут повторяться в будущем.
QUEST_LV_0100_20150317_000031	Взять его. Я сделал некоторые приманки из старых зерен в поставках.{nl}я буду выманить его от туда, так что ты останешься здесь. Sparnas обязательно появиться на одной из этих {nl}двух местах. Не дай ему уйти. Уничтожить его наверняка.{nl}
QUEST_LV_0100_20150317_000032	Мы не можем получить второй шанс, если мы не победим на этот раз.{nl}не похоже, что они идиоты.
QUEST_LV_0100_20150317_000033	I heard the sound of fighting so I came in a hurry. Did you Победить его?{nl}I only spotted the Siaulambs at my spot.{nl}Thank you. You have performed a meritorious deed.
QUEST_LV_0100_20150317_000034	Генерал-Адъютант Полина
QUEST_LV_0100_20150317_000035	Мы должны вернуть похищенные припасы.{nl}мы не можем называть себя солдатами королевства, если мы не сделаем что-нибудь об этом.{nl}
QUEST_LV_0100_20150317_000036	Украденные припасы были приняты Siaulambs в каждый склад материально-технического снабжения, {nl}взыскать поставок и довести их до Волда.
QUEST_LV_0100_20150317_000037	Мне так надоело терпеть это все время. Подкрепление должно быть скоро.{nl}но что мы можем ожидать от такого некомпетентного королевство??о??о??о??
QUEST_LV_0100_20150317_000038	Генерал-Адъютант Волда
QUEST_LV_0100_20150317_000039	Спасибо большое, но вы, должно быть, опоздали на другие вопросы.{nl}кроме того, мы не можем просто сидеть здесь и ждать. Мы планируем продолжать атаковать.
QUEST_LV_0100_20150317_000040	Тайный Хранитель
QUEST_LV_0100_20150317_000041	Богиня уже предвидел это.{nl}ничто не может вырваться из ее видения.
QUEST_LV_0100_20150317_000042	Liaison Officer Нильс
QUEST_LV_0100_20150317_000043	Hello.{nl}Have you seen an Старик who has lost his way?{nl}His name is Jonas.{nl}
QUEST_LV_0100_20150317_000044	You haven't seen him?{nl}Нетw, which direction would that feeble old fellow have wandered off towards?
QUEST_LV_0100_20150317_000045	Йонас является потомком семьи, которая защищала этот Королевский Мавзолей.{nl}он очень важный человек в нашей лаборатории команда, поэтому, пожалуйста, позаботься о нем.
QUEST_LV_0100_20150317_000046	Архивариус Джонас
QUEST_LV_0100_20150317_000047	Наша семья ждет вас на долгое время.{nl}настало время дать тебе кое-что, что мы должны были защищать довольно долго.
QUEST_LV_0100_20150317_000048	It is good to hear that Jonas has regained his consciousness.{nl}You are the person who casted the light signal, right?{nl}
QUEST_LV_0100_20150317_000049	Ahylas пришла встретить того, кто зажег сигнал.{nl}встретить его внизу.
QUEST_LV_0100_20150317_000050	Мы не слышали никаких новостей от Kepeck долго, не так как мы послали ему поставляет.{nl}у нас нет достаточно людей, чтобы сформировать поисковую команду, поэтому, пожалуйста, помогите нам найти его.
QUEST_LV_0100_20150317_000051	Историк Viode
QUEST_LV_0100_20150317_000052	Всегда быть готовым для атак монстров.{nl}особенно в таких местах, как здесь.
QUEST_LV_0100_20150317_000053	Наемник Мирта
QUEST_LV_0100_20150317_000054	}Didn't I alГотов warn you?{nl}Будьте осторожны в следующий раз.
QUEST_LV_0100_20150317_000055	Историк Kepeck
QUEST_LV_0100_20150317_000056	Нильс послали мне тебя.{nl}Ну, раз вы торопитесь, документ самостоятельно и взять его обратно Нильс.
QUEST_LV_0100_20150317_000057	Если вы идите прямо, сверните с дороги направо и пересечь мост, {nl}вы увидите артефакты Великого короля Zachariel.{nl}Архив их и отвезите обратно Нильс. Он поймет.
QUEST_LV_0100_20150317_000058	Так это Kepeck заметки... наемник Мирта искал это.{nl}вы помогли подтвердить безопасность двух особей. Благодарю вас за ваши усилия.
QUEST_LV_0100_20150317_000059	Ahylas Джонас
QUEST_LV_0100_20150317_000060	Теперь возьмите распломбирование камень и идите к сломанной опоры Каньон. {nl}Ученик Gustas научу вас, как выпустить в печать там.
QUEST_LV_0100_20150317_000061	Were you not guided yet?{nl}Take it to the Ученик Gustas in Broken Pillar Canyon.{nl}It is made to let only the chosen one enter.
QUEST_LV_0100_20150317_000062	Ученик Gustas
QUEST_LV_0100_20150317_000063	Did you Релиз печатью of Pagasa Cliff?{nl}You have to start from that seal.
QUEST_LV_0100_20150317_000064	Слова выгравировать в скале
QUEST_LV_0100_20150317_000065	Не трогать или толкать камень.
QUEST_LV_0100_20150317_000066	Я ждал тебя.{nl}следующий уплотнение находится на пути к рухнувшей Санктум.
QUEST_LV_0100_20150317_000067	Вы не знаете как с нетерпением мы ждали этого момента.{nl}мы очень хотели встретиться с вами.
QUEST_LV_0100_20150317_000068	Gustas Иона
QUEST_LV_0100_20150317_000069	Это вы.{nl}Вы гораздо смелее, чем я себе представлял.
QUEST_LV_0100_20150317_000070	Soldier Алан
QUEST_LV_0100_20150317_000071	Are you the new recruit?{nl}I received a patrolling order, but I guess you can go my behalf.
QUEST_LV_0100_20150317_000072	Ты хороша для новичка.{nl}у меня Память что-то ужасное происходит один раз, поэтому Я не хочу идти.
QUEST_LV_0100_20150317_000073	Я вспоминаю что-то...
QUEST_LV_0100_20150317_000074	}You know that we are dispatched here to Поражение Gaigalas, right?{nl}Rookie. Can you take this report to Командор Уоллес?
QUEST_LV_0100_20150317_000075	Командор Уоллес
QUEST_LV_0100_20150317_000076	Why did you bring this report without Alan coming?{nl}Are you a new recruit or something?
QUEST_LV_0100_20150317_000077	Я могу вернуться домой после Gaigalas побежден.{nl}Ну, я бы хотела вернуться домой как можно скорее.
QUEST_LV_0100_20150317_000078	Командор Уоллес на Птичий след перекрестка.
QUEST_LV_0100_20150317_000079	Меня не волнует, насколько ты хорош. Вы новичок здесь.{nl}это приказ. Принеси мне сок из Кепа рейдеров.
QUEST_LV_0100_20150317_000080	Солдаты эти дни, им не хватает смелости.{nl}я надеюсь, вы будете хорошо влиять на них.
QUEST_LV_0100_20150317_000081	It's clear that we will win this battle.{nl}Why? Because the Owls are helping.
QUEST_LV_0100_20150317_000082	Кепа налетчики Ianutis возле водопада.{nl}, чтобы победить Gaigalas, мы обязательно в них нуждаются.
QUEST_LV_0100_20150317_000083	Soldier Вайц
QUEST_LV_0100_20150317_000084	Hey, rookie, are you on a break?{nl}Get some fat from Duckys in Lengvas Garden.
QUEST_LV_0100_20150317_000085	Мы прикорм Gaigalas используя Даки жира.{nl}Эй, новичок, не слоняться туда-сюда, ладно??о??о??о??
QUEST_LV_0100_20150317_000086	Сегодня будет последний день для Gaigalas.{nl}ты готова, Новобранец??ц??ц??ц??
QUEST_LV_0100_20150317_000087	Далее, мы получим кожи от Cronewts в Lengvas сад.{nl}торопиться, солдат.
QUEST_LV_0100_20150317_000088	Мы обязательно выиграют на этот раз.{nl}богинь на нашей стороне.
QUEST_LV_0100_20150317_000089	Вы довольно неплохо для новичка.{nl}это неорганизованная вот на данный момент, так что вы можете держать эти ингредиенты для сейчас.{nl}
QUEST_LV_0100_20150317_000090	Познакомьтесь с нашими солдатами, а Я готовиться к битве.{nl}я позвоню тебе, прежде чем мы сталкиваемся Gaigalas.
QUEST_LV_0100_20150317_000091	Когда мы сжигаем утиный жир, Gaigalas появится после обоняния запах.{nl}Lengvas сад будет хорошее место, чтобы сжечь ее.
QUEST_LV_0100_20150317_000092	Мое сердце колотится.{nl}я чувствую, что моя душа бьется с ним.
QUEST_LV_0100_20150317_000093	Старая Сова Скульптура
QUEST_LV_0100_20150317_000094	There is no one in this forest. Why are you here?{nl}
QUEST_LV_0100_20150317_000095	Gaigalas?{nl}Defeating it without any assistance will be difficult.
QUEST_LV_0100_20150317_000096	Я видел много смертей здесь.{nl}и я не хочу больше жертв.
QUEST_LV_0100_20150317_000097	Мне нужно Кепа рейдер SAP и Cronewt кожи.
QUEST_LV_0100_20150317_000098	Why do you have that?{nl}Hand it to me and I will make a Memory Fragment.
QUEST_LV_0100_20150317_000099	С памяти этот фрагмент, я возродят воспоминания о наших спящих товарищей.
QUEST_LV_0100_20150317_000100	Трудно будет победить его без памяти фрагмент.{nl}пожалуйста, принеси мне Infro держатель рога.
QUEST_LV_0100_20150317_000101	Откуда у тебя все эти ингредиенты??ы??
QUEST_LV_0100_20150317_000102	Те люди, которые уже ушли из этого мира. {nl}они повторения того, что случилось тогда, потому что их гнев для Gaigalas.
QUEST_LV_0100_20150317_000103	Мы можем успокоить их, если мы победим Gaigalas.{nl}пожалуйста, пойди и проверь тревожная Сова.
QUEST_LV_0100_20150317_000104	Тревожная Сова Скульптура
QUEST_LV_0100_20150317_000105	Пожалуйста, помогите мне разбудить моих спящих товарищей и завершить волшебство этого дня.{nl}с памяти фрагмент.
QUEST_LV_0100_20150317_000106	Они могут стать сытым.{nl}я буду стоять здесь, пока вспоминая моих товарищей.
QUEST_LV_0100_20150317_000107	Вы найдете Gaigalas когда вы идете Ishimtini подъездными путями.{nl}пожалуйста, отомстить за павших воинов.
QUEST_LV_0100_20150317_000108	Я был в изолированном месте, чтобы я не заснул.{nl}но, наблюдая все это было болезненно для меня.
QUEST_LV_0100_20150317_000109	Мои товарищи подверглись нападению, когда они пытались помочь солдатам.
QUEST_LV_0100_20150317_000110	Джонас оправился осведомленности выпив Лекарство.
QUEST_LV_0100_20150317_000111	Археолог Dezic
QUEST_LV_0100_20150317_000112	Я ищу своего помощника по имени увеличило пассажирский комфорт.{nl}Можете ли вы Победить монстров неподалеку, так что я могу пойти и поискать ее??е??
QUEST_LV_0100_20150317_000113	Я сказал ей не волноваться, даже если она находит что-то.{nl}и все же она сделала это снова.
QUEST_LV_0100_20150317_000114	Спасибо.{nl}Я пойду искать увеличило пассажирский комфорт.
QUEST_LV_0100_20150317_000115	Technician Heinen
QUEST_LV_0100_20150317_000116	}Эта канатная дорога может быть только ездил теми, с разрешения. Боюсь, я должен сказать вам, чтобы повернуть назад {nl}к Vienesa нагорье.
QUEST_LV_0100_20150317_000117	Однако, если вы победите монстров хлопотно вокруг этой области, Я подумаю об этом.
QUEST_LV_0100_20150317_000118	}Isn't it better to use the cable car rather than getting injured passing through the monsters? {nl}Of course, this is if you can ride the cable car.
QUEST_LV_0100_20150317_000119	Гораздо лучше, чем я ожидал.{nl}я хочу предложить вам сделку.
QUEST_LV_0100_20150317_000120	Я позволю тебе держать с помощью канатной дороги, если вы уничтожите странное уплотнение в Nuotori скалы.{nl}монстры кажутся цифра увеличивается из-за этого уплотнения.
QUEST_LV_0100_20150317_000121	Как и обещали, вы можете воспользоваться канатной дорогой, сколько хочешь.{nl}просто скажи Уильям там или Cyneburg с другой стороны, что я дал свое разрешение.
QUEST_LV_0100_20150317_000122	That barrier... Hmm. When exactly did it form?{nl}I know it has been there for Броситьe some time now, but I can't remember for how long exactly.
QUEST_LV_0100_20150317_000123	Я уверен, что барьер был ответственен за растущее число монстров в последнее время.{nl}
QUEST_LV_0100_20150317_000124	We don't have many soldiers guarding this area.{nl}Who in their right mind would come here in this day and age?{nl}
QUEST_LV_0100_20150317_000125	Rolandas Иона
QUEST_LV_0100_20150317_000126	Никто не знает, что Великий царь Zachariel пытался защитить.{nl}и я уверен, что мы не единственные, кто хочет решить эту загадку.
QUEST_LV_0100_20150317_000127	Спешите воспользоваться великим царем ключевых для освобождения уплотнения.{nl}Вы должны знать, что делать дальше после этого.
QUEST_LV_0100_20150317_000128	Я нашел увеличило пассажирский комфорт, но я не знаю как спасти ее.{nl}она находится в заключении в Rodoma 2-е руины, я не могу спасти ее себе...
QUEST_LV_0100_20150317_000129	Помощник Увеличило Пассажирский Комфорт
QUEST_LV_0100_20150317_000130	Я не могу двигаться из-за барьера.{nl}пожалуйста, сломать барьеры в три Rodoma руины.
QUEST_LV_0100_20150317_000131	Are you not done yet? Ah, geez...
QUEST_LV_0100_20150317_000132	Я не ожидал, что меня повезут в такого рода вещи.{nl}о, беспорядок я вызвала гоняться за этим мальчиком.
QUEST_LV_0100_20150317_000133	Наемник Глен
QUEST_LV_0100_20150317_000134	Поэтому многие исследователи исчезают эти дни.{nl}я пытаюсь найти зацепки, победив некоторые Сауга. Можете ли вы помочь нам??м??
QUEST_LV_0100_20150317_000135	В Saugas разделить их добычу справедливо между собой.{nl}может быть, мы можем найти некоторые подсказки от них.
QUEST_LV_0100_20150317_000136	К счастью они очень старые.{nl}значит, эти случаи не из-за монстров.
QUEST_LV_0100_20150317_000137	Это место очень опасно
QUEST_LV_0100_20150317_000138	When those people disappeared, no one close to them noticed.{nl}It's as if memories about those who disappeared are erased. Interesting, isn't it?{nl}
QUEST_LV_0100_20150317_000139	Пожалуйста, победить всех монстров поблизости, чтобы ничего не случилось.{nl}появились сообщения, что монстров на 1-м архитекторы' сайта вели себя агрессивно.
QUEST_LV_0100_20150317_000140	Великолепный.{nl}мы будем в безопасности.
QUEST_LV_0100_20150317_000141	Монстры идут!{nl}они наверное узнали, что я был освобожден.
QUEST_LV_0100_20150317_000142	The goddesses have sent you?{nl}I never thought that you would protect me.{nl}
QUEST_LV_0100_20150317_000143	Where did that huge scorpion go? This is very bad!
QUEST_LV_0100_20150317_000144	Я должна пойти посмотреть Dezic.{nl}я надеюсь увидеть вас снова в будущем.
QUEST_LV_0100_20150317_000145	Кто-то, должно быть, сделали что-то странное с монстрами защищая Королевский Мавзолей.{nl}о чем они думали??и??
QUEST_LV_0100_20150317_000146	Сэр, держи себя в руках. Сэр!
QUEST_LV_0100_20150317_000147	Новый Исследователь
QUEST_LV_0100_20150317_000148	Я потерял важные научные материалы в заброшенной старой мастерской.{nl}монстры, должно быть, взяла их... я должен просто оставить их позади??и??
QUEST_LV_0100_20150317_000149	Я нахожусь в приподнятом настроении я получаю, чтобы увидеть Королевский Мавзолей себе, но и монстры... они пугают.
QUEST_LV_0100_20150317_000150	Огромное спасибо.{nl}Вы должны также проверить Записи хранилища.
QUEST_LV_0100_20150317_000151	Вход в королевский Мавзолей скрыт внутри этого гигантского каньона где-то.{nl}начало каньона начинается здесь.
QUEST_LV_0100_20150317_000152	Многие эксперты пришли сюда, чтобы проводить исследования на Королевский Мавзолей.{nl}может быть, мы можем найти некоторые подсказки о Medzio Диена здесь.
QUEST_LV_0100_20150317_000153	Почему так много монстров в каньоне, когда осталось так мало растительной жизни вокруг??г??
QUEST_LV_0100_20150317_000154	Что случилось? to my request? Is it not done yet?
QUEST_LV_0100_20150317_000155	Посмотрите внимательно на земле.{nl}все-таки упал вниз.
QUEST_LV_0100_20150317_000156	Hmm, only these ones?{nl}Well, Спасибо for finding this much at least.{nl}I can just copy the others from the beginning again.
QUEST_LV_0100_20150317_000157	Niels sent you too?{nl}I am not going. I have to research these wild flowers.{nl}
QUEST_LV_0100_20150317_000158	Я думаю, что я видел, было иллюзией.{nl}я должна вознаградить вас за защиту минералога вроде меня.{nl}
QUEST_LV_0100_20150317_000159	Да.{nl}принеси мне мои архивы от Нильса.
QUEST_LV_0100_20150317_000160	Jonas told you to bring his archives?{nl}Ладно. In return, please bring him some medicine.{nl}
QUEST_LV_0100_20150317_000161	Лекарство поможет ему облегчить его ум.{nl}Давио на правой стороне Раскопа лагерь имеет в медицине.
QUEST_LV_0100_20150317_000162	Джонас-это глава семьи, который защищает Королевский Мавзолей Великого царя Zachariel.{nl}когда-то он был очень здоровый, но в эти дни он стар и слаб.{nl}
QUEST_LV_0100_20150317_000163	Это было после того, как Джонас вышел, чтобы посетить со своим слугой.{nl}Джонас найдено с деменцией и слуга пропал даже до сегодняшнего дня.
QUEST_LV_0100_20150317_000164	Пожалуйста, позаботься о Джонас.{nl}было бы большой проблемой, если он получил травму.
QUEST_LV_0100_20150317_000165	Давио находится на правой стороне лагеря.{nl}я надеюсь, что медицина будет работать хорошо.
QUEST_LV_0100_20150317_000166	Finally, I remember everything.{nl}I am the head of the family that protects the Royal Mausoleum... Who are you?{nl}
QUEST_LV_0100_20150317_000167	Носитель откровений. Если такова воля богини, тогда вы должны быть квалифицированы.{nl}у Вас есть работа, чтобы сделать, так что следуйте за мной на Черемушки передать.
QUEST_LV_0100_20150317_000168	Я сделал Нильс и вам беспокоиться...
QUEST_LV_0100_20150317_000169	Я буду вести путь и вы будете обрабатывать любые монстры с которой мы сталкиваемся.{nl}я рассчитываю на вас.
QUEST_LV_0100_20150317_000170	Время для этого настало. Пожалуйста, идите на Черемушки передать.
QUEST_LV_0100_20150317_000171	Я уверен, что вы квалифицированы для этого.{nl}Богиня Лайма привела все эти.
QUEST_LV_0100_20150317_000172	Наконец спрятанные сокровища может быть передан кому-то.{nl}я сожалею, что не узнал вас раньше из-за моего маразма.
QUEST_LV_0100_20150317_000173	Великий царь Zachariel сказал нам, чтобы одарить его скрытое сокровище на уполномоченное лицо.{nl}Вы можете проверить, являетесь ли вы квалифицированным глазами Великого царя.
QUEST_LV_0100_20150317_000174	У нас есть одна обязанность не только защищать Королевский Мавзолей.{nl} - защищать королевское наследство до тех пор, пока Квалифицированный специалист не придет.{nl}
QUEST_LV_0100_20150317_000175	Мы понятия не имеем, что именно скрытое сокровище.{nl}король просто сказал нам, чтобы защитить его, поэтому мы просто выполняют его заказ.
QUEST_LV_0100_20150317_000176	Medicine Dealer
QUEST_LV_0100_20150317_000177	Хм... ну, есть трава, которая растет только у metos вокруг поля.{nl}пожалуйста, принеси мне его.
QUEST_LV_0100_20150317_000178	У metos поле бы быть лучшее место, чтобы проснуться сознание. Особенно для старика.
QUEST_LV_0100_20150317_000179	Good job. You're pretty sharp, aren't you?{nl}
QUEST_LV_0100_20150317_000180	Ладно, дело сделано.{nl}взять это Давио.
QUEST_LV_0100_20150317_000181	Merchant Davio
QUEST_LV_0100_20150317_000182	Я привел этого старика медицины. {nl}но я потратил много сил на это. Я должен брать с тебя больше.{nl}
QUEST_LV_0100_20150317_000183	Золото, которое Lichenclops есть в этом городе будет достаточно.{nl}приносят медицины дилера в капас и города шоссе.
QUEST_LV_0100_20150317_000184	This will be enough. Davio sent you, right?{nl} I still need one more ingredient to make the medicine truly effective.
QUEST_LV_0100_20150317_000185	Чтобы сделать Лекарство, мне нужно было найти причину Джонаса симптомы и это сводило меня с ума.{nl}как ни странно, это было вызвано заклинанием, которое использовалось давно.{nl}
QUEST_LV_0100_20150317_000186	До меня дошли слухи, что Великий царь Zachariel стерла воспоминания всех работников после {nl}здание Королевского Мавзолея. Это должно быть заклинание кастовать на Жонас, хотя он тоже немного {nl}старческого возраста.
QUEST_LV_0100_20150317_000187	Это было трудно получить, что старика медицины.{nl}но, там ничего не могу получить.
QUEST_LV_0100_20150317_000188	Она будет завершена после того, как вы растопите его в мед, который у вас есть. Возьмите его с собой.
QUEST_LV_0100_20150317_000189	Это лекарство хорошо работает. Заставить его проглотить как-то.
QUEST_LV_0100_20150317_000190	Ты опоздал.{nl}вы принесли мой архив??в??
QUEST_LV_0100_20150317_000191	Идите к заброшенной старой мастерской.{nl}какой-то старичок бродит вокруг там. Я думаю, что это Джонас.
QUEST_LV_0100_20150317_000192	What is that? It smells like mead!
QUEST_LV_0100_20150317_000193	У меня кружится голова.{nl}что я вообще здесь делаю??ю??
QUEST_LV_0100_20150317_000194	Я рада, что вы нашли меня.{nl}когда монстры гнались за мной, я потерял мои вещи и все материалы.{nl}по крайней мере, вы могли бы найти разрозненные материалы??ы??
QUEST_LV_0100_20150317_000195	У меня не так много, чтобы сказать, как скромный наемник.{nl}хотя я был в порядке даже на Medzio Диена, я уверен, что это место проклято.{nl}
QUEST_LV_0100_20150317_000196	How long has it been since I came here?{nl}Where is Mirta and who are you?
QUEST_LV_0100_20150317_000197	Я пытаюсь вспомнить что-то, но она исчезает всякий раз, когда я приближаюсь.
QUEST_LV_0100_20150317_000198	Vaidotas
QUEST_LV_0100_20150317_000199	Этот запах.. я думаю, что очищающее устройство в шахте сломана.{nl}мы лучше его отремонтировать быстро. Похищенных сельчан может задохнуться.
QUEST_LV_0100_20150317_000200	Do you know about the legend of Cunningham?{nl}The legend states that a great demon was sealed here in the Crystal Mine.{nl}There is a book with more details about it at the Mine Worker's Resting Place in Crystal Mine 2F.{nl}
QUEST_LV_0100_20150317_000201	В любом случае, мое предположение заключается в том, что демон является пробуждение и контролирует Vubbes.{nl}епископ мечта и легенда Каннингем... я чувствую, что они могут быть признаком того, что что-то{nl}огромные вот-вот произойдет.{nl}
QUEST_LV_0100_20150317_000202	Только богиня бы знать, если это будет надежда или отчаяние.{nl}
QUEST_LV_0100_20150317_000203	Очиститель может быть легко исправлен кем-либо, но это может быть сложно найти нужные части.{nl}в таком случае используйте компас, который я дал вам искать их.{nl}
QUEST_LV_0100_20150317_000204	Ну тогда, у меня есть некоторые вещи делать так что я буду встретиться с Вами в 3f кристаллической Шахты.{nl}во имя богини, я молюсь за успех в вашей борьбе.
QUEST_LV_0100_20150317_000205	Если Вы не можете найти детали для починки очиститель, использовать компас я тебе дал.{nl}, она поможет вам найти их.
QUEST_LV_0100_20150317_000206	Села Тетя
QUEST_LV_0100_20150317_000207	You've come to save us? Right?
QUEST_LV_0100_20150317_000208	Все хорошо, мы собираемся быть в порядке теперь!
QUEST_LV_0100_20150317_000209	Деревенская Девушка
QUEST_LV_0100_20150317_000210	Пожалуйста, спаси нас. Пожалуйста...
QUEST_LV_0100_20150317_000211	Пожалуйста, Отпустите Меня. Пожалуйста...
QUEST_LV_0100_20150317_000212	Г-Н Хуан
QUEST_LV_0100_20150317_000213	Я взбешусь, если я сейчас вижу Vubbes, кто разрушил мой родной город.{nl}вот почему я хочу помогать таким людям как ты, которые борются против Vubbes.
QUEST_LV_0100_20150317_000214	Я бы уже ушел, если это был не мой родной город.{nl}, где на земле были все Vubbes скрываться, прежде чем они вылезли??
QUEST_LV_0100_20150317_000215	Фармацевт Леди
QUEST_LV_0100_20150317_000216	Спасибо за помощь в прошлый раз.{nl}без тебя, я никогда бы не получил столько ингредиентов.
QUEST_LV_0100_20150317_000217	Возможно, человек, что богиня послала ты.{nl}Ты-самый милосердный человек, которого я когда-либо видел среди носителей откровений.
QUEST_LV_0100_20150317_000218	Солдат Джейс
QUEST_LV_0100_20150317_000219	Я буду защищать эту деревню для моих мертвых товарищей.
QUEST_LV_0100_20150317_000220	Даже если мир изменится, я никогда не прощу в Vubbes.
QUEST_LV_0100_20150317_000221	Soldier Эдгар
QUEST_LV_0100_20150317_000222	Эти рационы, которые мы собрали из Восточный Шяуляй лес.{nl}я никогда, никогда не потеряете их снова. Когда-нибудь.
QUEST_LV_0100_20150317_000223	Благодаря вам, я получил много пищи.{nl}я рад.
QUEST_LV_0100_20150317_000224	Рыцарь-Командор Uska
QUEST_LV_0100_20150317_000225	Is this slate the evidence of salvation?{nl}It just looks like an old slate to me.
QUEST_LV_0100_20150317_000226	Задать мэр шахтерского поселка о способе листьев вуаль плато.{nl}я пошлю сообщение для Паладин освоить в первую очередь. {nl}Пусть благословение богини быть с тобой.
QUEST_LV_0100_20150317_000227	Хорошо было бы задать в Бокоро Мастер интерпретировать этот шифер.{nl}она живет в конце Клайпеды жилом районе, так что иди и оплати ей визит.
QUEST_LV_0100_20150317_000228	Используйте свое время с умом.{nl}никто полностью не знает ваше будущее.
QUEST_LV_0100_20150317_000229	Итак, вы наконец вернулись.{nl}что Бокоро Мастер тебе сказал??
QUEST_LV_0100_20150317_000230	Я тоже любопытно про девушку, который взломал печать.{nl}это не уплотнение, которое может быть легко нарушено.
QUEST_LV_0100_20150317_000231	Если Бокор, мастер сказал что я хотел бы знать это..{nl}есть одно место, которое приходит на ум.{nl}
QUEST_LV_0100_20150317_000232	Высокие сады, что богиня упоминается могли быть область в листьев покрывало плато. {nl}я услышал Паладин Мастер есть, загрузка долгосрочные обещания. 
QUEST_LV_0100_20150317_000233	Шахтеров Мэр Деревни
QUEST_LV_0100_20150317_000234	Приветствую. Aren't you our town's savior?{nl}
QUEST_LV_0100_20150317_000235	Leaf Veil Кофеварка, huh? If you take the road between the two bridges below, you'll reach {nl}Silverstream Gorge. 
QUEST_LV_0100_20150317_000236	So this revelation is from goddess Laima and we have to collect all these for the goddess {nl}to regain her powers?{nl}That is amazing.
QUEST_LV_0100_20150317_000237	Ой, пожалуйста, не раскрывают тот факт, что откровение было найдено только в случае крайней необходимости.{nl}это может только создать путаницу, если слухи распространять.
