ITEM_20150317_000001	Пустой шлем 
ITEM_20150317_000107	Velniup 
ITEM_20150317_000108	Люди даже пойти так далеко, чтобы сказать, что это оружие является чрезмерно жестоким. 
ITEM_20150317_000109	Фортис 
ITEM_20150317_000110	Пока непопулярен во время Великого катаклизма завода, возрождение сильно бронированных монстров доказывает свою ценность.
ITEM_20150317_000111	Chapparition Резца
ITEM_20150317_000112	Согласно теории, этот меч также используется в конфликтах среди демонов. 
ITEM_20150317_000113	Deathweaver Резца 
ITEM_20150317_000114	По этой орудуя лезвием, один становится смертоносец.
ITEM_20150317_000115	Chapparition Меч 
ITEM_20150317_000116	Это служит косвенным доказательством в спорах между демонами.
ITEM_20150317_000117	Bendras Меч 
ITEM_20150317_000118	Меч, несущий мощь богини, которая поразила многих бед в прошлом. 
ITEM_20150317_000119	Illizia 
ITEM_20150317_000120	Этот клинок серьезно угрожает как жизни своего противника и владельца финансов. Конечно, большинство Мечников игнорировать последний эффект. 
ITEM_20150317_000121	Запланированы к удалению 
ITEM_20150317_000122	Two-handed Sword [Slash] 
ITEM_20150317_000123	Дункель Полуторный Меч 
ITEM_20150317_000124	Некоторые мастера и воины называем это 'смешанного стиля двуручного меча.' Они говорят это, чтобы оправдать себя. 
ITEM_20150317_000125	Flamberge 
ITEM_20150317_000126	Если вы эксперт в двуручное оружие, волновой формы кромки может вызвать огромный ущерб. 
ITEM_20150317_000127	Nodachi 
ITEM_20150317_000128	В Nodachi с длиной 'просто право' может усилить его рубящим власть и доминировать в пространстве между обладателем и их враг. 
ITEM_20150317_000129	Клеймор 
ITEM_20150317_000130	Все Клейморы из королевства сделаны с упором на вес и мощность. 
ITEM_20150317_000131	Колосс 
ITEM_20150317_000132	Необычные веерообразные лопасти имеется потенциал, чтобы усилить свою мощь и универсальность, чтобы быть адаптированы во многих техниках. 
ITEM_20150317_000133	Калибурн 
ITEM_20150317_000134	Часто проносила высокопоставленных солдат. 
ITEM_20150317_000135	Quaddara 
ITEM_20150317_000136	Вопреки ее внешний вид, это меч обоюдоострый и часто используемые Мечников проводит практичность. 
ITEM_20150317_000137	Свет Клеймор 
ITEM_20150317_000138	Структура этого меча позволяет пользователю выполнить теракт. 
ITEM_20150317_000139	Сырой Колосс
ITEM_20150317_000140	Ilwoon 
ITEM_20150317_000141	Великий Ruklys нес этот меч в его ранних дней. 
ITEM_20150317_000142	Практика Полуторный Меч 
ITEM_20150317_000143	Полуторный Меч 
ITEM_20150317_000144	Тяжелые Flamberge
ITEM_20150317_000145	Тяжелые Nodachi
ITEM_20150317_000146	Тяжелый Клеймор
ITEM_20150317_000147	Темно-Nodachi 
ITEM_20150317_000148	Темно-Quaddara 
ITEM_20150317_000149	Темно-Flamberge 
ITEM_20150317_000150	Темно-Claymore 
ITEM_20150317_000151	Двуручный меч 
ITEM_20150317_000152	Katzbalger 
ITEM_20150317_000153	Платье Меч 
ITEM_20150317_000154	Два хандер 
ITEM_20150317_000155	Палача меч 
ITEM_20150317_000156	Lumai двуручный меч 
ITEM_20150317_000157	Overknife 
ITEM_20150317_000158	Потенцию 
ITEM_20150317_000159	Отличная альтернатива для тех, кто недоволен постоянным Flamberge. 
ITEM_20150317_000160	Temsus Flamberge 
ITEM_20150317_000161	Меч с огромным потенциалом для совершенствования, что комплименты обладателя врожденной силы. Попробовать его потенциал для себя. 
ITEM_20150317_000162	Didel Колосс 
ITEM_20150317_000163	Этот меч предназначен для тех, кто ищет больше вес, больше мощности и больше достичь в их косыми чертами. 
ITEM_20150317_000164	Collecture 
ITEM_20150317_000165	Хотя популярные в боях сегодня, это оружие считалось декоративные или коллекционные пункта до Великого катаклизма завода.
ITEM_20150317_000166	Hogma Двуручный Меч 
ITEM_20150317_000167	Как Hogmas полученных или созданных этим оружием является неважным. Мы больше озабочены крафта и используем сами. 
ITEM_20150317_000168	Cheminis Полуторный Меч 
ITEM_20150317_000169	По следам Великого катаклизма завода, в Winterspoon семья раскрыта крафта рецепт этого оружия для всех алхимиков.
ITEM_20150317_000170	Primaluce 
ITEM_20150317_000171	Мечников ищет грубую силу в орудие часто выбирают этот меч в качестве своего первого магический меч. 
ITEM_20150317_000172	Kindzal 
ITEM_20150317_000173	Те, кто любит, чтобы умерить свое оружие крафт этого меча для собственного использования. 
ITEM_20150317_000174	Imperni двуручный меч 
ITEM_20150317_000175	Если у тебя этот меч через черный рынок, это является очевидным доказательством того, что вы получили определенный уровень надежности. 
ITEM_20150317_000176	Prieblanda 
ITEM_20150317_000177	Этот меч разделяет те же изобретатель с 'Primaluce' меч. 
ITEM_20150317_000178	Ляпис Katzbalger 
ITEM_20150317_000179	Повышение Katzbalger была разработана менее чем 100 лет назад. Таким образом, рецепт для крафта этого оружия не имеет отношения к Ruklys. 
ITEM_20150317_000180	Смит двуручный меч 
ITEM_20150317_000181	Поскольку Medzio Диена, меньше людей были обеспокоены нестабильностью магического оружия.
ITEM_20150317_000182	Klavis двуручный меч 
ITEM_20150317_000183	Этот меч может быть надежным продолжением руки. 
ITEM_20150317_000184	Молотить двуручный меч 
ITEM_20150317_000185	Sestas двуручный меч 
ITEM_20150317_000186	Dratt двуручный меч 
ITEM_20150317_000187	Астон двуручный меч 
ITEM_20150317_000188	Деви Буксире-Одноручный Меч
ITEM_20150317_000189	Прима двуручный меч
ITEM_20150317_000190	Фламини 
ITEM_20150317_000191	Хороший меч, который уже давно рассматривается как необходимость при облицовке демонов. 
ITEM_20150317_000192	Мастер Убийца 
ITEM_20150317_000193	Начинающие мастера часто не обращаем внимания на это особое оружие. Впрочем, опытный человек знает, чтобы держаться в стороне от ее невидимая сила. 
ITEM_20150317_000194	Two-handed Sword [Strike] 
ITEM_20150317_000195	Как летит кинжал, брошенный в темное время суток, Naktis сделок непредвиденного удара в его створ. 
ITEM_20150317_000196	Luciduce 
ITEM_20150317_000197	Хотя некоторые люди отвергают это оружие как "вырубка деревьев топор', его фактических пользователей скажет вам, что Великий катаклизм завода привело бы к потерям гораздо хуже без него.
ITEM_20150317_000198	Ад и рай 
ITEM_20150317_000199	Существует поговорка, которая утверждает, что " нападение-лучшая форма защиты.' Доказать это с помощью этого оружия. 
ITEM_20150317_000200	Deathweaver Зуба 
ITEM_20150317_000201	Chapparition двуручный меч 
ITEM_20150317_000202	Chapparition двуручный меч 
ITEM_20150317_000203	Великой державы иногда могут быть найдены из нематериального. Иногда volumeless может осилить тяжело.
ITEM_20150317_000204	Бесплатного приложения nulis 
ITEM_20150317_000205	Придает великую силу против существа, которые не принадлежат к мирам ночь и день. 
ITEM_20150317_000206	Гравитация 
ITEM_20150317_000207	Тяжести нельзя избежать, никого и ничего. Но если один подстраивается под него, никто не может недооценивать свои силы. 
ITEM_20150317_000208	Сырой Короткие Штанги
ITEM_20150317_000209	Rod [Strike] 
ITEM_20150317_000210	Стержень, что все студенты будут использовать магию. 
ITEM_20150317_000211	Короткая Штанга 
ITEM_20150317_000212	Маги, которые оканчивают свое обучение часто переключаться на этот вид оружия. 
ITEM_20150317_000213	Низкий Длинный Стержень
ITEM_20150317_000214	Украшения нашли в маг оборудования добавляются для функции, не только за внешний вид. 
ITEM_20150317_000215	Низкие Трости Ровер
ITEM_20150317_000216	Когда штанга кропотливо вырезанные известный мастер, он обязан содержать мистической силой. 
ITEM_20150317_000217	Трость 
ITEM_20150317_000218	Вы можете настроить этот стержень в дальнейшем, если вы можете поставлять материалы. 
ITEM_20150317_000219	Мошенник 
ITEM_20150317_000220	Легенды говорят, что злые волшебники были первыми, чтобы начать использовать это оружие. 
ITEM_20150317_000221	Pewter Род 
ITEM_20150317_000222	Некогда он был популярным оружием среди амбициозных молодых волшебников. 
ITEM_20150317_000223	Сова Штанги 
ITEM_20150317_000224	Украшение пользуется популярностью среди опытных мастеров. 
ITEM_20150317_000225	Руна Род 
ITEM_20150317_000226	Магическая руна используется для усиления мощности этого удилища. 
ITEM_20150317_000227	Хрустальный Жезл 
ITEM_20150317_000228	Точная подгонка драгоценность вал, необходимых для создания этого стержня. 
ITEM_20150317_000229	Crude Pewter Род
ITEM_20150317_000230	Сырой Сова Штанги
ITEM_20150317_000231	Солдатская Короткая штанга 
ITEM_20150317_000232	Этот жезл был отдан магов, которые присоединились к армии. Хотя процедура была отменена после того, как великий катаклизм растение, обильный запас еще остается.
ITEM_20150317_000233	Вождя длинный стержень 
ITEM_20150317_000234	Форма этого стержня была популярна в прошлом. Хотя старомодный, стержень выполняет достаточно прилично. 
ITEM_20150317_000235	Curde Трость Ровер
ITEM_20150317_000236	Битва Штанги 
ITEM_20150317_000237	Помимо помощи в литье магия, этот род был также разработан для физической борьбы. 
ITEM_20150317_000238	Короткий Тяжелый Стержень
ITEM_20150317_000239	Длинный Стержень 
ITEM_20150317_000240	Тяжелый Длинный Стержень
ITEM_20150317_000241	Трость Ровер 
ITEM_20150317_000242	Тяжелая Трость
ITEM_20150317_000243	Тяжелые И Неправдами
ITEM_20150317_000244	Heavy Pewter Род
ITEM_20150317_000245	Темно-Крук 
ITEM_20150317_000246	Темно-Кристалл Rod 
ITEM_20150317_000247	Темно-Long Rod 
ITEM_20150317_000248	Темно-Cane Rover 
ITEM_20150317_000249	Темно-Cane 
ITEM_20150317_000250	Темно-Pewter Штанга 
ITEM_20150317_000251	Змея Штанги 
ITEM_20150317_000252	Возраст Штанга 
ITEM_20150317_000253	Штанга-Й Альд 
ITEM_20150317_000254	Старейшина Род 
ITEM_20150317_000255	Метеоритный Стержень 
ITEM_20150317_000256	Кольцо Штанги 
ITEM_20150317_000257	Слуга Штанги 
ITEM_20150317_000258	Панто Штанги 
ITEM_20150317_000259	Волшебники открыли для себя новые факты из монстров, выходящих из Великого катаклизма растений и применяя их в той или иной ситуации.
ITEM_20150317_000260	Ледяной Жезл 
ITEM_20150317_000261	Молва гласит, что всякий раз, крафта рецепт для такого удилища проданы, часть денег идет на мастер-Cryomancer. 
ITEM_20150317_000262	Огонь Штанги 
ITEM_20150317_000263	Только Пиромантом Учитель знает способ вливая силы богини одновременно в этих стержней. 
ITEM_20150317_000264	Вася Штанги 
ITEM_20150317_000265	Хотя священники не одобряют манипуляции с духами во время его изготовления, мастера игнорируют это возражение. 
ITEM_20150317_000266	Волшебный Прут 
ITEM_20150317_000267	Простой стержень для усиления магии, легко куются на начинающих магов. 
ITEM_20150317_000268	Grynas Род 
ITEM_20150317_000269	Увеличение демоны после Великого катаклизма завод увеличил цену это уже-дорогое удилище.
ITEM_20150317_000270	Cheminis Штанги 
ITEM_20150317_000271	Несмотря на схожесть в названии с другим оружием, это оружие не имеет прямого отношения к Winterspoon семьи. 
ITEM_20150317_000272	Арка Стержня 
ITEM_20150317_000273	Оружие, которое наполняет роль ступенькой до продвинутого волшебства для начинающих волшебников. Как только мастер достигает своей цели высшего образования, это оружие заменяется другой. 
ITEM_20150317_000274	Imperni Штанги 
ITEM_20150317_000275	Он пользуется популярностью среди мастеров, которые любят выделяться. 
ITEM_20150317_000276	Арас' Длинный Стержень 
ITEM_20150317_000277	Его часто используют в качестве небольшого подарка среди мастеров благодаря своей доступной цене. 
ITEM_20150317_000278	Смит Штанги 
ITEM_20150317_000279	Это оборудование обязательно нечетным, независимо от того, кто его использует.
ITEM_20150317_000280	Klavis Штанги 
ITEM_20150317_000281	Вы можете быть первым мастером в истории, чтобы когда-либо использовать это оружие. 
ITEM_20150317_000282	Дио Штанги 
ITEM_20150317_000283	Молотить Штанги 
ITEM_20150317_000284	Sestas Штанги 
ITEM_20150317_000285	Dratt Штанги 
ITEM_20150317_000286	Астон Штанги 
ITEM_20150317_000287	Деви Штанги
ITEM_20150317_000288	Прима Штанги
ITEM_20150317_000289	Temere 
ITEM_20150317_000290	Этот род получил прозвище 'сотрудники терпение.' Легенды говорят, что Agailla шквал, величайший волшебник в истории, придумал этот стержень тренировать ее учеников. 
ITEM_20150317_000291	Зажигания 
ITEM_20150317_000292	Хотя Пиромантов Мастер занимается исследованием способ смягчения нестабильной недостатки этого персонал, никаких изменений не произошло до сих пор. 
ITEM_20150317_000293	Secretum 
ITEM_20150317_000294	Оружие сделано для И только для волшебников. Таким образом, волшебники обычно не обращаем внимания на недостатки этого персонала. 
ITEM_20150317_000295	Deathweaver Штанги 
ITEM_20150317_000296	Прут, содержащий силу Deathweaver.
ITEM_20150317_000297	Chapparition Штанги 
ITEM_20150317_000298	Zaima 
ITEM_20150317_000299	Слухи утверждают, что высокая цена этого стержня рецепт из-за Cryomancer Мастер настаивал. 
ITEM_20150317_000300	Эпос 
ITEM_20150317_000301	Жезл, который был изготовлен давно, используя самые лучшие магические знания в то время. В результате невозможно добавить к штанге, даже с нынешним прогрессом в магии. 
ITEM_20150317_000302	Мерцают Штанги 
ITEM_20150317_000303	Яркая звезда всегда видна. 
ITEM_20150317_000304	Пустые weapon_THBow 
ITEM_20150317_000305	Сырой Лук
ITEM_20150317_000306	Bow [Pierce] 
ITEM_20150317_000307	Простое оружие, которое может даже быть сделан на дому. 
ITEM_20150317_000308	Светлый Лук 
ITEM_20150317_000309	Лук широко проработаны и используются людьми по всему королевству и его территорий. 
ITEM_20150317_000310	С Низким Поклоном
ITEM_20150317_000311	Это лук для начинающих, хотя некоторые владеют лучники предпочитают продолжать использовать его. 
ITEM_20150317_000312	Низкий Длинный Лук
ITEM_20150317_000313	Небольшое расстояние иногда может быть решающим фактором между жизнью и смертью. Этот лук является хорошим выбором, если вам нужен больший радиус. 
ITEM_20150317_000314	Составной Лук 
ITEM_20150317_000315	Лук с повышенной гибкостью за счет применения различных материалов. 
ITEM_20150317_000316	Самостоятельная Лук 
ITEM_20150317_000317	Он символизирует мужественного решения непоколебимого лучник. 
ITEM_20150317_000318	Rokas Лук 
ITEM_20150317_000319	Это предположительно назван в честь места, где его изобретатель взялся. 
ITEM_20150317_000320	Gorithos 
ITEM_20150317_000321	Лук предпочитает кавалерии. 
ITEM_20150317_000322	Gulail
ITEM_20150317_000323	Первый в истории зафиксированный случай применения магии в bowcrafting процесс. С тех пор она нашла свой собственный рынок. 
ITEM_20150317_000324	Каман 
ITEM_20150317_000325	Лук модифицированные дополнительные силы лучников уверены в своих сила руки. 
ITEM_20150317_000326	Рокас Сырой Лук
ITEM_20150317_000327	Сырой Gorithos
ITEM_20150317_000328	Солдатская светлый лук 
ITEM_20150317_000329	Этот лук был изготовлен для удовлетворения минимальных потребностей армии. 
ITEM_20150317_000330	Мэр короткий лук 
ITEM_20150317_000331	Он показывает признаки силы вкладывал в unstringing и restringing лук каждый день. Несмотря на свой возраст, смычок в хорошем состоянии. 
ITEM_20150317_000332	Сырой Лук
ITEM_20150317_000333	Gendawa 
ITEM_20150317_000334	Этот лук является лучшей среди тех, изготовленная без использования магии в процессе. 
ITEM_20150317_000335	Тяжелые Светло-Лук
ITEM_20150317_000336	Короткий Лук 
ITEM_20150317_000337	Тяжелый Короткий Лук
ITEM_20150317_000338	Длинный Лук 
ITEM_20150317_000339	Тяжелый Композитный Лук
ITEM_20150317_000340	Тяжелые Самостоятельная Лук
ITEM_20150317_000341	Heavy Rokas Лук
ITEM_20150317_000342	Темно-Self Bow 
ITEM_20150317_000343	Темно-Каман 
ITEM_20150317_000344	Темно-Short Bow 
ITEM_20150317_000345	Темный Длинный Лук 
ITEM_20150317_000346	Дункель Композитный Лук 
ITEM_20150317_000347	Темно-Rokas Лук 
ITEM_20150317_000348	Рекурсивный Лук 
ITEM_20150317_000349	Осада Лук 
ITEM_20150317_000350	Снайперский Лук 
ITEM_20150317_000351	Череп Лук 
ITEM_20150317_000352	Деревянный Составной Лук 
ITEM_20150317_000353	Тег Лук
ITEM_20150317_000354	Лук Изгоев 
ITEM_20150317_000355	Искатель 
ITEM_20150317_000356	Этот лук, популярны среди охотников, стало еще более распространенным после Великого катаклизма завода.
ITEM_20150317_000357	Железный Лук 
ITEM_20150317_000358	Этот лук обладает большой точностью и часто может стать причиной неожиданного повреждения противника. 
ITEM_20150317_000359	Лук Ястреб 
ITEM_20150317_000360	Самостоятельно сделанный лук со случайными кости иногда не имеют синергии с золотом.
ITEM_20150317_000361	Cheminis Лук 
ITEM_20150317_000362	Он был назван в честь его эффект повышения ловкости пользователя. 
ITEM_20150317_000363	Охотничий Лук 
ITEM_20150317_000364	Применение алхимии в bowcrafting оставались теоретическими до тех пор, пока обстоятельства сделали его трендом в последние производства. 
ITEM_20150317_000365	Приготовления Лук 
ITEM_20150317_000366	В прошлом только состоятельные охотники купил этот лук. Со страшных событий в новейшей истории, тем не менее, любой, кто может позволить себе это приобретение или время его изготовления. 
ITEM_20150317_000367	Дикарь Лук 
ITEM_20150317_000368	Благодаря увеличению спроса на высокое качество Луки времен Великой завода катаклизма, этот бант, обрабатываемое довольно часто.
ITEM_20150317_000369	Серебряная Змейка 
ITEM_20150317_000370	Этот лук является хорошим выбором, вне зависимости от мышечной силы. Это потому, что если пользователь имеет сильное оружие, он может стрелять с большей силой и если он не придет, лук компенсирует это. 
ITEM_20150317_000371	Imperni Лук 
ITEM_20150317_000372	Как следует из названия, этот лук поражает ядовитых атак. 
ITEM_20150317_000373	Lethena Лук 
ITEM_20150317_000374	Можно почувствовать ощущение охоты на большого монстра с луком благодаря его солидный вес. 
ITEM_20150317_000375	Сильный Лук 
ITEM_20150317_000376	Сложно в изготовлении, но того стоило. 
ITEM_20150317_000377	Арас' Короткий Лук 
ITEM_20150317_000378	Обычно куплены Новые пользователи Magic Луки. 
ITEM_20150317_000379	Шкив Лук 
ITEM_20150317_000380	Смит Лук 
ITEM_20150317_000381	Если нет других луков слева, доступных для покупки, купить это и надеяться на лучшее.
ITEM_20150317_000382	Klavis Лук 
ITEM_20150317_000383	Помимо того, что волшебный лук, он, как правило, считается посредственным, но пользователь может сделать исключительное использование. 
ITEM_20150317_000384	Дио Лук 
ITEM_20150317_000385	Молотить Лук 
ITEM_20150317_000386	Sestas Лук 
ITEM_20150317_000387	Dratt Лук 
ITEM_20150317_000388	Астон Лук 
ITEM_20150317_000389	Деви Лук
ITEM_20150317_000390	Прима Лук
ITEM_20150317_000391	Одичалых Бэйн 
ITEM_20150317_000392	До Великого катаклизма завод, охотники редко используют этот лук. Это может соуд странно, но лук как бы не причинить чрезмерного вреда добычу.
ITEM_20150317_000393	Эквалайзер 
ITEM_20150317_000394	Есть гордые лучники, которые не хотят каких-либо переменных, влияющих на их мастерство стрельбы из лука за пределами собственных силах. Этот лук идеально подходит для них. 
ITEM_20150317_000395	Сердце Искателя 
ITEM_20150317_000396	По неизвестной причине заклинание, привязанное к этому лук стал проклятием, чтобы оба врага и Пользователь. Несмотря на это, лук до сих пор используется лучниками для ее заслуги. 
ITEM_20150317_000397	Гадюка 
ITEM_20150317_000398	Этот яд-проникнуты лук является настолько токсичным, что его огорчает своих пользователей. 
ITEM_20150317_000399	Deathweaver Лук 
ITEM_20150317_000400	Этот лук будет отправлять своих врагов к их гибели.
ITEM_20150317_000401	Chapparition Лук 
ITEM_20150317_000402	Гравюры сказать: "Выпрями спину и раздвинуть плечи
ITEM_20150317_000403	Кровь Набирать 
ITEM_20150317_000404	Этот лук был создан Лидия Schaffen. Она часто использовала этот лук на протяжении всей своей жизни, но намеренно воздержался от крафта способ от астральной башни и Schaffenstar, двух лиц основан Лидия сама. 
ITEM_20150317_000405	Буря Шутер 
ITEM_20150317_000406	Новый лук спроектирован и разработан совместными усилиями мастера bowcrafters. Он был задуман с надеждой на преодоление Великой завода катаклизма.
ITEM_20150317_000407	Пустые weapon_Bow 
ITEM_20150317_000408	Ряд Легких Арбалета
ITEM_20150317_000409	Арбалет [Pierce] 
ITEM_20150317_000410	Полезно, когда, имея свободную руку, важнее, чем иметь больше силы атаки. 
ITEM_20150317_000411	Строки Арбалет
ITEM_20150317_000412	Современные арбалеты использовать много различных материалов, в основном части монстров. 
ITEM_20150317_000413	Dokyu 
ITEM_20150317_000414	Оружие, которое легко перезагрузить. 
ITEM_20150317_000415	Ссора Лук 
ITEM_20150317_000416	Ссоры стрелок Мастер использует это, чтобы учить новичков. 
ITEM_20150317_000417	Дубовый Арбалет 
ITEM_20150317_000418	Хотя куются древесины найти трудно из-за большой завод катаклизм, это оружие не сложно сделать.
ITEM_20150317_000419	Уплотнение Арбалет 
ITEM_20150317_000420	Потому что монстра кости иногда проклинали, печать прикреплена к этому оружию. 
ITEM_20150317_000421	Катапульта 
ITEM_20150317_000422	Существует длительная история исследований по адаптации осадным оружием использование одним человеком. Это оружие является кульминацией этого исследования. 
ITEM_20150317_000423	Cranequin 
ITEM_20150317_000424	Механизм помогает новичкам в использовании, но Опытные пользователи выиграют от дополнительной мощности. 
ITEM_20150317_000425	Сырой Дуб Арбалет
ITEM_20150317_000426	Сырой Уплотнение Арбалет
ITEM_20150317_000427	Снайперский Арбалет 
ITEM_20150317_000428	Мощный арбалет, печально известного тем, что используется убийца Evoniphon. 
ITEM_20150317_000429	Свет Арбалет 
ITEM_20150317_000430	Свет Тяжелый Арбалет
ITEM_20150317_000431	Crossbow 
ITEM_20150317_000432	Тяжелые Dokyu
ITEM_20150317_000433	Тяжелые Ссоры Лук
ITEM_20150317_000434	Тяжелые Дубовые Арбалет
ITEM_20150317_000435	Темный Лук Quarrel 
ITEM_20150317_000436	Темно-Cranequin 
ITEM_20150317_000437	Темно-Crossbow 
ITEM_20150317_000438	Темно-Dokyu 
ITEM_20150317_000439	Темный Дуб Crossbow 
ITEM_20150317_000440	Арбалет 
ITEM_20150317_000441	Fedimian Башенки 
